ID,Zona,Latitud,Longitud,Prioridad,Tipo,Fecha
I-001,Zona_01,-38.7439,-72.6106,Alta,Medico,2026-07-01 23:12:00
I-002,Zona_04,-38.7153,-72.5594,Baja,Inundacion,2026-07-02 03:03:00
I-003,Zona_01,-38.7352,-72.5586,Baja,Medico,2026-07-01 12:20:00
I-004,Zona_20,-38.7153,-72.5594,Baja,Inundacion,2026-07-04 04:59:00
I-005,Zona_18,-38.7043,-72.5995,Crítica,Medico,2026-07-05 09:45:00
I-006,Zona_09,-38.7829,-72.5406,Baja,Medico,2026-07-04 16:27:00
I-007,Zona_11,-38.7909,-72.6429,Alta,Medico,2026-07-03 17:42:00
I-008,Zona_11,-38.7907,-72.6355,Baja,Incendio,2026-07-05 16:14:00
I-009,Zona_12,-38.7364,-72.5953,Alta,Inundacion,2026-07-01 21:12:00
I-010,Zona_02,-38.7464,-72.504,Crítica,Inundacion,2026-07-05 22:11:00
I-011,Zona_03,-38.735,-72.5683,Alta,Inundacion,2026-07-03 11:40:00
I-012,Zona_07,-38.7899,-72.6083,Baja,Incendio,2026-07-04 14:49:00
I-013,Zona_10,-38.7601,-72.6171,Baja,Medico,2026-07-02 15:06:00
I-014,Zona_09,-38.7973,-72.6202,Crítica,Rescate,2026-07-03 11:53:00
I-015,Zona_12,-38.7194,-72.5453,Media,Rescate,2026-07-03 10:32:00
I-016,Zona_03,-38.7909,-72.6429,Media,Inundacion,2026-07-05 05:19:00
I-017,Zona_06,-38.7208,-72.5867,Crítica,Accidente Vial,2026-07-02 17:25:00
I-018,Zona_18,-38.7621,-72.5672,Media,Rescate,2026-07-04 23:22:00
I-019,Zona_02,-38.7029,-72.5209,Media,Incendio,2026-07-05 17:56:00
I-020,Zona_09,-38.7295,-72.6431,Baja,Medico,2026-07-03 14:46:00
I-021,Zona_11,-38.7124,-72.6028,Media,Accidente Vial,2026-07-06 07:39:00
I-022,Zona_15,-38.763,-72.6186,Media,Rescate,2026-07-04 23:46:00
I-023,Zona_18,-38.778,-72.5616,Alta,Inundacion,2026-07-02 17:40:00
I-024,Zona_13,-38.7352,-72.5586,Alta,Medico,2026-07-04 15:40:00
I-025,Zona_16,-38.778,-72.5616,Baja,Incendio,2026-07-04 05:34:00
I-026,Zona_06,-38.735,-72.5683,Crítica,Inundacion,2026-07-02 04:52:00
I-027,Zona_13,-38.7578,-72.6455,Crítica,Inundacion,2026-07-03 12:32:00
I-028,Zona_01,-38.7464,-72.504,Baja,Inundacion,2026-07-04 11:32:00
I-029,Zona_11,-38.7004,-72.5706,Baja,Rescate,2026-07-02 20:25:00
I-030,Zona_15,-38.7352,-72.5586,Baja,Rescate,2026-07-02 05:35:00
I-031,Zona_06,-38.7157,-72.5336,Baja,Rescate,2026-07-05 16:01:00
I-032,Zona_20,-38.7439,-72.6106,Media,Medico,2026-07-04 05:18:00
I-033,Zona_06,-38.7899,-72.6083,Baja,Inundacion,2026-07-05 16:06:00
I-034,Zona_01,-38.7295,-72.6431,Baja,Rescate,2026-07-04 02:42:00
I-035,Zona_02,-38.7138,-72.5634,Media,Inundacion,2026-07-02 16:41:00
I-036,Zona_16,-38.7781,-72.5742,Baja,Inundacion,2026-07-01 19:41:00
I-037,Zona_05,-38.7029,-72.5209,Crítica,Inundacion,2026-07-02 01:10:00
I-038,Zona_17,-38.7194,-72.5453,Crítica,Medico,2026-07-02 20:11:00
